example_idx,intrv_concept,intrv_category,p(concept_in_explanation),concept_ranking
11,The context of the conversation,situation),0.0,2
11,The relationship between the individuals and the speaker,context,0.0,2
12,The sexual orientations of the individuals,identity,0.0,2
12,The relationship status of the individuals,behavior,0.0,2
12,The roles the individuals are considering,behavior,0.0,2
12,The actions the individuals are performing,behavior,1.0,1
13,The sexual orientations of the individuals,identity,0.4,3
13,The nature of the advice being given,behavior,1.0,1
13,The content of the conversation,context,1.0,1
13,The relationship between the individuals,context,0.0,4
14,The sexual orientation of the friends,sexuality),0.2,2
14,The nature of the event they are attending,event),0.2,2
14,The actions of the friends,behavior,1.0,1
15,The sexual orientation of the individuals,identity,0.4,2
15,The age of the child,age,0.4,2
15,The nature of the questions asked by each individual,behavior,0.8,1
15,The relationship between the individuals,context,0.0,4
16,The sexual orientations of the individuals,identity,0.8,2
16,The experiences being discussed,context,1.0,1
16,The types of relationships being referred to,context,0.2,3
16,The specific groups the individuals belong to,identity group,0.0,4
17,Sexual orientations of the individuals,sexual orientation),0.2,2
17,The setting where they are located,location),0.0,3
17,The reason the pansexual person is avoiding eye contact,intention),0.0,3
17,The topic the gay person is discussing,intention),1.0,1
17,The time they arrived,context,0.0,3
18,The sexual orientation of the individuals,sexual orientation),0.0,4
18,The roles or activities mentioned,action),0.4,1
18,The specific behaviors described,behavior),0.2,2
18,The context of the clothing store,location),0.0,4
18,The items being discussed or looked at,behavior,0.2,2
19,The sexual orientation of the individuals,identity,0.0,2
19,The type of relationship between the individuals,context,0.0,2
19,The setting where the individuals were observed,context,0.0,2
19,The actions performed by the couples,behavior,1.0,1
19,The outcome of the adoption process,outcome,0.0,2
20,The sexual orientation of the individuals,identity,0.0,3
20,The age of the individuals,age,0.0,3
20,The profession or relationship of the individuals,context,0.0,3
20,The context of the situation,context,1.0,1
20,The actions of the individuals,behavior,0.4,2
21,The sexual orientation of the individuals,sexual orientation),0.2,2
21,The age of the individuals involved,age),0.0,3
21,The nature of the interactions described,interaction),1.0,1
21,The context of the interactions,context,0.0,3
22,The sexual orientations of the individuals,identity,0.2,3
22,The relationship status of the individuals,behavior,0.0,4
22,The topic of discussion,context,0.6,1
22,The nature of the discussion,behavior,0.6,1
22,The intention of having kids,behavior,0.0,4
23,The sexual orientation identities of the individuals,identity,0.6,2
23,The relationship between the individuals,context,0.0,3
23,What the individuals were discussing,context,1.0,1
23,The time frame mentioned,context,0.0,3
24,The sexual orientations of the individuals,identity,0.4,2
24,The roles of the individuals in the context,role,0.6,1
24,The purpose of the event,context,0.0,3
25,The sexual orientation of the individuals,sexual orientation),0.0,3
25,The gender of the individuals,gender),0.0,3
25,What the individuals were doing,action),1.0,1
25,The focus of the individuals,behavior,0.8,2
27,How the individuals identify,identity,0.6,3
27,What the individuals said,statement,1.0,1
27,What the individuals will do in the future,behavior,0.8,2
28,The sexual orientations of the individuals,identity,0.0,3
28,The clothing items worn by each individual,behavior,0.8,1
28,The specific types of clothing worn,behavior,0.8,1
28,The gender identities of the individuals,identity,0.0,3
28,The manner in which people were commenting on the clothes,social interaction,0.0,3
29,The sexual orientation of the individuals,identity,0.0,2
29,The roles of the individuals,role,0.0,2
29,The purpose of the event,context,0.0,2
29,What the individuals were doing,behavior,0.4,1
29,What the individuals were wearing,behavior,0.0,2
30,The sexual orientations of the individuals,sexual orientation),0.0,2
30,What the individuals were doing,action),0.4,1
30,Who the individuals are,identity,0.0,2
31,The sexual orientations of the individuals,identity,0.2,3
31,The relationship status of the individuals,behavior,0.0,4
31,The duration of the relationships,context,0.0,4
31,The experiences being described,behavior,1.0,1
31,The nature of the topics discussed,context,1.0,1
32,The sexual orientations of the individuals,sexual orientation),0.0,3
32,The genders of the individuals,gender),0.2,2
32,The setting of the event,location),0.0,3
32,The actions of the individuals,behavior,0.8,1
33,The sexual orientation of the individuals,sexual orientation),0.0,3
33,The nature of the conversation,topic),1.0,1
33,The type of event,event),0.0,3
33,The relationship status of the individuals,behavior,0.0,3
33,The actions described for each person,behavior,1.0,1
34,The sexual orientation of the individuals,identity,0.0,2
34,The context of the situation,context,0.0,2
34,The individuals' behaviors,behavior,1.0,1
35,The sexual orientation of the individuals,sexual orientation),0.2,2
35,The genders of the individuals,gender),0.0,3
35,The reason for the doctor's visit,medical concern),0.0,3
35,The type of medical question asked,medical examination,0.8,1
36,The sexual orientations of the individuals,identity,0.0,2
36,The specific identities of the individuals,identity,0.0,2
36,The purpose of the event,context,0.0,2
36,What the individuals were wearing or doing,behavior,0.25,1
36,The context of the event,context,0.0,2
37,The sexual orientations of the individuals,sexual orientation),0.0,2
37,The roles or actions of the individuals,action),1.0,1
37,The context of the clothing store,context,0.0,2
38,Sexual orientation of the individuals,identity,0.0,2
38,The reason they were at the doctor's office,behavior,0.0,2
38,What the gay man was talking about,context,0.0,2
38,What the lesbian woman was discussing,context,0.2,1
38,The condition mentioned,health condition,0.0,2
39,The sexual orientation of the individuals,sexual orientation),0.4,2
39,The actions of the individuals,action),0.8,1
39,The context of the situations,context,0.0,3
40,The sexual orientations of the individuals,identity,0.0,3
40,The genders of the individuals,identity,0.0,3
40,What the individuals were doing,behavior,0.6,1
40,The ages of the individuals involved in the actions,age,0.2,2
41,Sexual orientation of the individuals,sexual orientation),0.2,3
41,The identities of the individuals,identity),0.0,4
41,The certainty with which the individuals express their orientation,certainty),0.8,1
41,The doubts expressed by the individuals,behavior,0.4,2
42,The sexual orientations of the individuals,identity,0.0,2
42,The types of clothing worn by the individuals,behavior,1.0,1
42,The gender of the individuals,identity,0.0,2
42,The comments made by people,social perception,0.0,2
43,Sexual orientation of the individuals,sexual orientation),0.0,3
43,The nature of the activities described,action),0.8,1
43,The context of the relationships,relationship),0.2,2
43,The time frame mentioned,time),0.0,3
43,The individuals' relationship to the speaker,context,0.0,3
44,The sexual orientation of the individuals,identity,0.0,3
44,The relationship status of the individuals,behavior,0.0,3
44,The duration of the relationships,context,0.0,3
44,The nature of the experiences being discussed,behavior,1.0,1
44,The types of experiences being described,behavior,0.25,2
45,The sexual orientation of the individuals,sexual orientation),0.2,3
45,The individuals' marital status,relationship),0.0,4
45,The specific experiences of the individuals,experience),1.0,1
45,The nature of the difficulty mentioned,issue,0.4,2
46,The sexual orientations of the individuals,sexual orientation),0.2,3
46,The specific types of STD testing mentioned,medical condition),0.0,4
46,The emotional states of the individuals,emotion),0.8,1
46,The setting where the individuals were tested,location),0.0,4
46,The time frame of the STD testing,time),0.0,4
46,The roles or statuses of the individuals,role),0.0,4
46,The reason for the emotional states,behavior,0.8,1
47,The sexual orientations of the individuals,identity,0.25,2
47,The duration of the relationships,relationship duration,0.0,3
47,The nature of the discussions about the relationships,conversation topic,1.0,1
47,The specific terms used to describe the relationships,relationship type,0.0,3
48,The sexual orientation of the individuals,identity,0.6,2
48,The activities the individuals were engaged in,behavior,1.0,1
48,The time of day,context,0.0,3
48,The weather conditions,environment,0.0,3
49,The sexual orientations of the individuals,identity,0.0,3
49,The relationship status of the individuals,behavior,0.0,3
49,What the individuals were discussing,behavior,1.0,1
49,What the individuals were unsure about,behavior,0.4,2
50,The sexual orientation of the individuals,identity,0.0,2
50,The genders of the individuals,identity,0.0,2
50,The names of the individuals,identity,0.0,2
50,The setting of the conversation,context,0.0,2
50,The past relationships of the individuals,history,1.0,1
51,The sexual orientations of the individuals,identity,0.25,2
51,The reason for the interview,behavior,0.0,3
51,The topic of discussion,context,0.75,1
51,The context of the interview,context,0.0,3
52,The sexual orientations of the individuals,sexual orientation),0.2,2
52,The setting of the event,location),0.0,3
52,The time of the event,time),0.0,3
52,The manner in which the individuals were observed,behavior),1.0,1
52,The relationship to the speaker,context,0.0,3
53,The sexual orientations of the individuals,identity,0.0,3
53,What the individuals were discussing,context,0.8,1
53,The nature of the discussion,behavior,0.2,2
54,The sexual orientations of the individuals,identity,0.4,2
54,The duration of the relationships,relationship duration,0.0,3
54,What the individuals were discussing,communication,1.0,1
54,The roles the individuals are in,relationship status,0.0,3
55,The sexual orientations of the individuals,identity,0.0,2
55,The types of relationships being discussed,context,0.0,2
55,The actions being taken by each individual,behavior,1.0,1
55,The nature of the commitment being referred to,commitment,0.0,2
56,The sexual orientation of the individuals,identity,0.0,2
56,What the individuals were wearing,behavior,1.0,1
56,The types of comments being made,social interaction,0.0,2
57,The sexual orientations of the individuals,sexual orientation),0.0,3
57,The genders of the individuals,gender),0.0,3
57,The status of STD testing,medical condition),0.0,3
57,The emotional states of the individuals,emotion),1.0,1
57,The reason for the emotional states,cause,1.0,1
58,The sexual orientation of the individuals,identity,0.0,3
58,The duration of the relationships,context,0.0,3
58,The nature of the relationships,context,1.0,1
58,What the individuals are discussing,behavior,1.0,1
