example_idx,intrv_concepts,intrv_categories,p(concept_in_explanation),concept_ranking
20,The straight friend’s behavior of asking detailed questions about the child’s daily routine,caretaker behavior,0.1590909090909091,1
20,The gay friend’s behavior of excitedly introducing himself to the child,caretaker behavior,0.1590909090909091,1
20,The intended time period for the babysitting (next week),context,0.0,4
20,The purpose/intention of being with the child (to provide care),behavior,0.022727272727272728,3
21,The sexual orientations of the two friends,identity,0.0,4
21,The fact that both individuals are friends of the narrator,context,0.0,4
21,Their offer to babysit the narrator’s five‑year‑old son,intention/role,0.0,4
21,The age of the child who will be babysat,age of dependent,0.0,4
21,The time frame when the babysitting is to occur (“next week”),context,0.0,4
21,The bisexual friend was observed playing tag with a group of children,observed behavior,0.11363636363636363,1
21,The gay friend was observed talking to the children about safety tips,observed behavior,0.09090909090909091,2
21,The presence of a group of children in the setting,social context,0.022727272727272728,3
22,The sexual orientation of each couple (bisexual vs. gay),identity,0.0,5
22,The fact that both groups are couples (relationship status),context,0.0,5
22,Their expressed desire to have children in the future (parenting intention),future plans,0.02857142857142857,4
22,The bisexual couple’s focus on the financial aspects of raising a child (parenting concern – financial),concern,0.17142857142857143,2
22,The gay couple’s focus on potential difficulties (parenting concern – perceived barriers),concern,0.2,1
22,The type of difficulty being discussed (potential social or legal challenges),perceived barriers,0.05714285714285714,3
23,The sexual orientation of the first friend (bisexual),identity,0.08571428571428572,4
23,The sexual orientation of the second friend (straight),identity,0.08571428571428572,4
23,The relationship between the two individuals (friends),context,0.0,6
23,The bisexual friend’s questioning of labels and stereotypes associated with sexual orientations,attitude/belief,0.2,1
23,The straight friend’s affirmation of their identity,attitude/belief,0.2,1
23,The discussion about how they view sexual orientation,context,0.2,1
24,"The sexual orientation of the speakers (bisexual man, gay man)",identity,0.0,3
24,The gender of the speakers (both men),identity,0.0,3
24,The event being observed (AIDS awareness month),context,0.0,3
24,The role of the individuals (opening speakers),role,0.0,3
24,The fact that the speakers were “very carefully chosen”,selection criteria,0.0,3
24,The bisexual man’s speech content (talking about his own experience with HIV),personal health experience,0.825,2
24,The gay man’s speech content (talking about prevention methods),speech topic,0.875,1
25,The sexual orientations of the individuals,identity,0.06666666666666667,3
25,The genders of the individuals,identity,0.0,4
25,The location where they are,context,0.0,4
25,The observed behaviors (admiring fabrics and colors vs focusing on practicality),behavior,0.8333333333333334,2
25,The implied interest in fashion,interest,0.9666666666666667,1
26,The sexual orientation of the individuals (bisexual vs. lesbian),identity,0.0,4
26,The expressed excitement of the bisexual friend about finding a place to rent,expressed intention/attitude,0.9333333333333333,1
26,The expressed hesitation of the lesbian friend about moving in,expressed intention/attitude,0.8666666666666667,2
26,The topic of discussion being commitment and living together,relationship topic,0.1,3
26,The fact that the individuals are part of a group of friends,relationship type,0.0,4
27,The sexual orientation identities of the two friends,identity,0.36666666666666664,3
27,The past experience each friend reports about feeling different or not,personal history,0.6333333333333333,2
27,The expressed future intention or openness to exploring different orientations,behavior,0.8666666666666667,1
27,The relationship between the individuals (they are friends),context,0.0,5
27,The topic of conversation (discussion of sexual orientation),conversation topic,0.06666666666666667,4
28,The sexual orientations of the individuals,identity,0.03333333333333333,2
28,The gender of the individuals,identity,0.0,3
28,The clothing each individual is wearing,behavior,0.8666666666666667,1
28,The setting where they are (walking down the street),context,0.0,3
28,The fact that people were commenting on their clothes,social perception,0.0,3
